Country,File Paths ,Year,Values
Angola,Gross Opening stocks,1/1/2013,5
Bolivia (Plurinational State of),Gross Opening stocks,1/1/2013,0
Brazil,Gross Opening stocks,1/1/2013,15868
Burundi,Gross Opening stocks,1/1/2013,5
Ecuador,Gross Opening stocks,1/1/2013,2
Indonesia,Gross Opening stocks,1/1/2013,650
Madagascar,Gross Opening stocks,1/1/2013,10
Malawi,Gross Opening stocks,1/1/2013,0
Papua New Guinea,Gross Opening stocks,1/1/2013,5
Paraguay,Gross Opening stocks,1/1/2013,0
Peru,Gross Opening stocks,1/1/2013,82
Rwanda,Gross Opening stocks,1/1/2013,10
Timor-Leste,Gross Opening stocks,1/1/2013,0
Zimbabwe,Gross Opening stocks,1/1/2013,0
Congo,Gross Opening stocks,1/1/2013,0
Cuba,Gross Opening stocks,1/1/2013,0
Dominican Republic,Gross Opening stocks,1/1/2013,58
Haiti,Gross Opening stocks,1/1/2013,0
Philippines,Gross Opening stocks,1/1/2013,0
Tanzania,Gross Opening stocks,1/1/2013,51.65
Zambia,Gross Opening stocks,1/1/2013,0
Benin,Gross Opening stocks,1/1/2013,0
Cameroon,Gross Opening stocks,1/1/2013,22.043
Central African Republic,Gross Opening stocks,1/1/2013,5.523
Colombia,Gross Opening stocks,1/1/2013,1266.388
Costa Rica,Gross Opening stocks,1/1/2013,144.72
Côte d'Ivoire,Gross Opening stocks,1/1/2013,575.18
Democratic Republic of Congo,Gross Opening stocks,1/1/2013,4
El Salvador,Gross Opening stocks,1/1/2013,72.5
Equatorial Guinea,Gross Opening stocks,1/1/2013,0
Ethiopia,Gross Opening stocks,1/1/2013,667
Gabon,Gross Opening stocks,1/1/2013,0.217
Ghana,Gross Opening stocks,1/1/2013,2
Guatemala,Gross Opening stocks,1/1/2013,12
Guinea,Gross Opening stocks,1/1/2013,10
Guyana,Gross Opening stocks,1/1/2013,0
Honduras,Gross Opening stocks,1/1/2013,232.574
India,Gross Opening stocks,1/1/2013,1217
Jamaica,Gross Opening stocks,1/1/2013,0
Kenya,Gross Opening stocks,1/1/2013,20
Lao People's Democratic Republic,Gross Opening stocks,1/1/2013,0
Liberia,Gross Opening stocks,1/1/2013,0
Mexico,Gross Opening stocks,1/1/2013,400
Nepal,Gross Opening stocks,1/1/2013,0
Nicaragua,Gross Opening stocks,1/1/2013,76.622
Nigeria,Gross Opening stocks,1/1/2013,0
Panama,Gross Opening stocks,1/1/2013,10
Sierra Leone,Gross Opening stocks,1/1/2013,2
Sri Lanka,Gross Opening stocks,1/1/2013,0
Thailand,Gross Opening stocks,1/1/2013,5
Togo,Gross Opening stocks,1/1/2013,9.567
Trinidad & Tobago,Gross Opening stocks,1/1/2013,0
Uganda,Gross Opening stocks,1/1/2013,717.737
Venezuela,Gross Opening stocks,1/1/2013,0
Viet Nam,Gross Opening stocks,1/1/2013,3200
Yemen,Gross Opening stocks,1/1/2013,0
Angola,Exports,1/1/2013,4.935
Bolivia (Plurinational State of),Exports,1/1/2013,67.9122
Brazil,Exports,1/1/2013,32751.9664
Burundi,Exports,1/1/2013,159.2177
Ecuador,Exports,1/1/2013,1209.545
Indonesia,Exports,1/1/2013,8700.9493
Madagascar,Exports,1/1/2013,174.4758
Malawi,Exports,1/1/2013,26.7944
Papua New Guinea,Exports,1/1/2013,833.3204
Paraguay,Exports,1/1/2013,0.0069
Peru,Exports,1/1/2013,3878.2383
Rwanda,Exports,1/1/2013,256.7282
Timor-Leste,Exports,1/1/2013,79.7282
Zimbabwe,Exports,1/1/2013,4.6415
Congo,Exports,1/1/2013,0
Cuba,Exports,1/1/2013,10.685
Dominican Republic,Exports,1/1/2013,55.0606
Haiti,Exports,1/1/2013,5.2098
Philippines,Exports,1/1/2013,10.682
Tanzania,Exports,1/1/2013,750.1682
Zambia,Exports,1/1/2013,10.7527
Benin,Exports,1/1/2013,0
Cameroon,Exports,1/1/2013,332.3911
Central African Republic,Exports,1/1/2013,75.027
Colombia,Exports,1/1/2013,10842.0722
Costa Rica,Exports,1/1/2013,1236.5631
Côte d'Ivoire,Exports,1/1/2013,1702.4943
Democratic Republic of Congo,Exports,1/1/2013,148.087
El Salvador,Exports,1/1/2013,496.6786
Equatorial Guinea,Exports,1/1/2013,0
Ethiopia,Exports,1/1/2013,3044.4439
Gabon,Exports,1/1/2013,0
Ghana,Exports,1/1/2013,23.0741
Guatemala,Exports,1/1/2013,3121.3714
Guinea,Exports,1/1/2013,51.1902
Guyana,Exports,1/1/2013,12.1412
Honduras,Exports,1/1/2013,4172.5236
India,Exports,1/1/2013,5095.3312
Jamaica,Exports,1/1/2013,10.8292
Kenya,Exports,1/1/2013,782.9501
Lao People's Democratic Republic,Exports,1/1/2013,394.4172
Liberia,Exports,1/1/2013,0.939
Mexico,Exports,1/1/2013,2457.4766
Nepal,Exports,1/1/2013,0.9054
Nicaragua,Exports,1/1/2013,1823.3928
Nigeria,Exports,1/1/2013,0.8582
Panama,Exports,1/1/2013,48.4685
Sierra Leone,Exports,1/1/2013,26.7346
Sri Lanka,Exports,1/1/2013,2.0825
Thailand,Exports,1/1/2013,26.3368
Togo,Exports,1/1/2013,134.1519
Trinidad & Tobago,Exports,1/1/2013,2.2242
Uganda,Exports,1/1/2013,3499.829
Venezuela,Exports,1/1/2013,3.7688
Viet Nam,Exports,1/1/2013,24902.3404
Yemen,Exports,1/1/2013,57.2981
Angola,Total production,1/1/2005,24.965
Bolivia (Plurinational State of),Total production,1/1/2005,109.9692
Brazil,Total production,1/1/2005,32932.9797
Burundi,Total production,1/1/2005,103.315
Ecuador,Total production,1/1/2005,935.3007
Indonesia,Total production,1/1/2005,9158.9594
Madagascar,Total production,1/1/2005,599.149
Malawi,Total production,1/1/2005,24.416
Papua New Guinea,Total production,1/1/2005,1268.1328
Paraguay,Total production,1/1/2005,45.2369
Peru,Total production,1/1/2005,2488.8349
Rwanda,Total production,1/1/2005,337.0107
Timor-Leste,Total production,1/1/2005,23.5228
Zimbabwe,Total production,1/1/2005,65.9299
Congo,Total production,1/1/2005,3
Cuba,Total production,1/1/2005,99.5833
Dominican Republic,Total production,1/1/2005,310.0469
Haiti,Total production,1/1/2005,356.0064
Philippines,Total production,1/1/2005,432.3372
Tanzania,Total production,1/1/2005,804.4066
Zambia,Total production,1/1/2005,102.936
Benin,Total production,1/1/2005,0
Cameroon,Total production,1/1/2005,869.7157
Central African Republic,Total production,1/1/2005,23.1639
Colombia,Total production,1/1/2005,11952.2997
Costa Rica,Total production,1/1/2005,1652.5288
Côte d'Ivoire,Total production,1/1/2005,2099.0447
Democratic Republic of Congo,Total production,1/1/2005,336.198
El Salvador,Total production,1/1/2005,1318.587
Equatorial Guinea,Total production,1/1/2005,0
Ethiopia,Total production,1/1/2005,4779.486
Gabon,Total production,1/1/2005,0.691
Ghana,Total production,1/1/2005,12.3749
Guatemala,Total production,1/1/2005,3675.5298
Guinea,Total production,1/1/2005,524.884
Guyana,Total production,1/1/2005,7.0144
Honduras,Total production,1/1/2005,3204.361
India,Total production,1/1/2005,4566.2898
Jamaica,Total production,1/1/2005,34.2777
Kenya,Total production,1/1/2005,660.135
Lao People's Democratic Republic,Total production,1/1/2005,279.646
Liberia,Total production,1/1/2005,5.361
Mexico,Total production,1/1/2005,4224.6637
Nepal,Total production,1/1/2005,1.3
Nicaragua,Total production,1/1/2005,1431.8115
Nigeria,Total production,1/1/2005,68.5718
Panama,Total production,1/1/2005,176.3307
Sierra Leone,Total production,1/1/2005,59.9662
Sri Lanka,Total production,1/1/2005,34.9432
Thailand,Total production,1/1/2005,1063.9651
Togo,Total production,1/1/2005,140.0759
Trinidad & Tobago,Total production,1/1/2005,14.8624
Uganda,Total production,1/1/2005,2175.201
Venezuela,Total production,1/1/2005,1506.3009
Viet Nam,Total production,1/1/2005,13841.8363
Yemen,Total production,1/1/2005,203.1808
Angola,Domestic consumption,1/1/2005,15
Bolivia (Plurinational State of),Domestic consumption,1/1/2005,41
Brazil,Domestic consumption,1/1/2005,15538
Burundi,Domestic consumption,1/1/2005,1.906
Ecuador,Domestic consumption,1/1/2005,150
Indonesia,Domestic consumption,1/1/2005,2500
Madagascar,Domestic consumption,1/1/2005,467
Malawi,Domestic consumption,1/1/2005,1
Papua New Guinea,Domestic consumption,1/1/2005,2
Paraguay,Domestic consumption,1/1/2005,20
Peru,Domestic consumption,1/1/2005,220
Rwanda,Domestic consumption,1/1/2005,1
Timor-Leste,Domestic consumption,1/1/2005,0
Zimbabwe,Domestic consumption,1/1/2005,4
Congo,Domestic consumption,1/1/2005,3
Cuba,Domestic consumption,1/1/2005,224
Dominican Republic,Domestic consumption,1/1/2005,377.998
Haiti,Domestic consumption,1/1/2005,340
Philippines,Domestic consumption,1/1/2005,1040
Tanzania,Domestic consumption,1/1/2005,47
Zambia,Domestic consumption,1/1/2005,0.6
Benin,Domestic consumption,1/1/2005,0
Cameroon,Domestic consumption,1/1/2005,69
Central African Republic,Domestic consumption,1/1/2005,3
Colombia,Domestic consumption,1/1/2005,1209
Costa Rica,Domestic consumption,1/1/2005,375
Côte d'Ivoire,Domestic consumption,1/1/2005,316.667
Democratic Republic of Congo,Domestic consumption,1/1/2005,200
El Salvador,Domestic consumption,1/1/2005,224.1
Equatorial Guinea,Domestic consumption,1/1/2005,0
Ethiopia,Domestic consumption,1/1/2005,2609
Gabon,Domestic consumption,1/1/2005,0.3
Ghana,Domestic consumption,1/1/2005,1.59
Guatemala,Domestic consumption,1/1/2005,300
Guinea,Domestic consumption,1/1/2005,50
Guyana,Domestic consumption,1/1/2005,5.6
Honduras,Domestic consumption,1/1/2005,230
India,Domestic consumption,1/1/2005,1238
Jamaica,Domestic consumption,1/1/2005,9
Kenya,Domestic consumption,1/1/2005,50
Lao People's Democratic Republic,Domestic consumption,1/1/2005,140
Liberia,Domestic consumption,1/1/2005,5
Mexico,Domestic consumption,1/1/2005,1725
Nepal,Domestic consumption,1/1/2005,0
Nicaragua,Domestic consumption,1/1/2005,186.719
Nigeria,Domestic consumption,1/1/2005,40
Panama,Domestic consumption,1/1/2005,67
Sierra Leone,Domestic consumption,1/1/2005,5
Sri Lanka,Domestic consumption,1/1/2005,30
Thailand,Domestic consumption,1/1/2005,500
Togo,Domestic consumption,1/1/2005,2
Trinidad & Tobago,Domestic consumption,1/1/2005,14
Uganda,Domestic consumption,1/1/2005,150
Venezuela,Domestic consumption,1/1/2005,1456.5
Viet Nam,Domestic consumption,1/1/2005,800
Yemen,Domestic consumption,1/1/2005,138
Angola,Exportable production,1/1/2005,9.965
Bolivia (Plurinational State of),Exportable production,1/1/2005,68.9692
Brazil,Exportable production,1/1/2005,17394.9797
Burundi,Exportable production,1/1/2005,101.409
Ecuador,Exportable production,1/1/2005,785.3007
Indonesia,Exportable production,1/1/2005,6658.9594
Madagascar,Exportable production,1/1/2005,132.149
Malawi,Exportable production,1/1/2005,23.416
Papua New Guinea,Exportable production,1/1/2005,1266.1328
Paraguay,Exportable production,1/1/2005,25.2369
Peru,Exportable production,1/1/2005,2268.8349
Rwanda,Exportable production,1/1/2005,336.0107
Timor-Leste,Exportable production,1/1/2005,23.5228
Zimbabwe,Exportable production,1/1/2005,61.9299
Congo,Exportable production,1/1/2005,0
Cuba,Exportable production,1/1/2005,0
Dominican Republic,Exportable production,1/1/2005,0
Haiti,Exportable production,1/1/2005,16.0064
Philippines,Exportable production,1/1/2005,0
Tanzania,Exportable production,1/1/2005,757.4066
Zambia,Exportable production,1/1/2005,102.336
Benin,Exportable production,1/1/2005,0
Cameroon,Exportable production,1/1/2005,800.7156
Central African Republic,Exportable production,1/1/2005,20.1639
Colombia,Exportable production,1/1/2005,10743.2997
Costa Rica,Exportable production,1/1/2005,1277.5288
Côte d'Ivoire,Exportable production,1/1/2005,1782.3777
Democratic Republic of Congo,Exportable production,1/1/2005,136.198
El Salvador,Exportable production,1/1/2005,1094.487
Equatorial Guinea,Exportable production,1/1/2005,0
Ethiopia,Exportable production,1/1/2005,2170.486
Gabon,Exportable production,1/1/2005,0.391
Ghana,Exportable production,1/1/2005,10.7849
Guatemala,Exportable production,1/1/2005,3375.5298
Guinea,Exportable production,1/1/2005,474.884
Guyana,Exportable production,1/1/2005,1.4144
Honduras,Exportable production,1/1/2005,2974.361
India,Exportable production,1/1/2005,3328.2898
Jamaica,Exportable production,1/1/2005,25.2777
Kenya,Exportable production,1/1/2005,610.135
Lao People's Democratic Republic,Exportable production,1/1/2005,139.646
Liberia,Exportable production,1/1/2005,0.361
Mexico,Exportable production,1/1/2005,2499.6637
Nepal,Exportable production,1/1/2005,1.3
Nicaragua,Exportable production,1/1/2005,1245.0925
Nigeria,Exportable production,1/1/2005,28.5718
Panama,Exportable production,1/1/2005,109.3307
Sierra Leone,Exportable production,1/1/2005,54.9662
Sri Lanka,Exportable production,1/1/2005,4.9432
Thailand,Exportable production,1/1/2005,563.9651
Togo,Exportable production,1/1/2005,138.0759
Trinidad & Tobago,Exportable production,1/1/2005,0.8624
Uganda,Exportable production,1/1/2005,2025.201
Venezuela,Exportable production,1/1/2005,49.8009
Viet Nam,Exportable production,1/1/2005,13041.8362
Yemen,Exportable production,1/1/2005,65.1808
Angola,Gross Opening stocks,1/1/2005,35
Bolivia (Plurinational State of),Gross Opening stocks,1/1/2005,0
Brazil,Gross Opening stocks,1/1/2005,28923
Burundi,Gross Opening stocks,1/1/2005,7.046
Ecuador,Gross Opening stocks,1/1/2005,47
Indonesia,Gross Opening stocks,1/1/2005,286
Madagascar,Gross Opening stocks,1/1/2005,11.583
Malawi,Gross Opening stocks,1/1/2005,1
Papua New Guinea,Gross Opening stocks,1/1/2005,73.387
Paraguay,Gross Opening stocks,1/1/2005,14
Peru,Gross Opening stocks,1/1/2005,33
Rwanda,Gross Opening stocks,1/1/2005,0
Timor-Leste,Gross Opening stocks,1/1/2005,0
Zimbabwe,Gross Opening stocks,1/1/2005,10
Congo,Gross Opening stocks,1/1/2005,0
Cuba,Gross Opening stocks,1/1/2005,15
Dominican Republic,Gross Opening stocks,1/1/2005,280.84
Haiti,Gross Opening stocks,1/1/2005,8
Philippines,Gross Opening stocks,1/1/2005,314
Tanzania,Gross Opening stocks,1/1/2005,4
Zambia,Gross Opening stocks,1/1/2005,0
Benin,Gross Opening stocks,1/1/2005,0
Cameroon,Gross Opening stocks,1/1/2005,11
Central African Republic,Gross Opening stocks,1/1/2005,13
Colombia,Gross Opening stocks,1/1/2005,1215.56
Costa Rica,Gross Opening stocks,1/1/2005,180
Côte d'Ivoire,Gross Opening stocks,1/1/2005,741.072
Democratic Republic of Congo,Gross Opening stocks,1/1/2005,0
El Salvador,Gross Opening stocks,1/1/2005,129
Equatorial Guinea,Gross Opening stocks,1/1/2005,0
Ethiopia,Gross Opening stocks,1/1/2005,1432
Gabon,Gross Opening stocks,1/1/2005,0
Ghana,Gross Opening stocks,1/1/2005,5
Guatemala,Gross Opening stocks,1/1/2005,99.667
Guinea,Gross Opening stocks,1/1/2005,29
Guyana,Gross Opening stocks,1/1/2005,0
Honduras,Gross Opening stocks,1/1/2005,36.529
India,Gross Opening stocks,1/1/2005,1279
Jamaica,Gross Opening stocks,1/1/2005,5.829
Kenya,Gross Opening stocks,1/1/2005,125
Lao People's Democratic Republic,Gross Opening stocks,1/1/2005,0
Liberia,Gross Opening stocks,1/1/2005,0
Mexico,Gross Opening stocks,1/1/2005,1426
Nepal,Gross Opening stocks,1/1/2005,0
Nicaragua,Gross Opening stocks,1/1/2005,144.142
Nigeria,Gross Opening stocks,1/1/2005,0
Panama,Gross Opening stocks,1/1/2005,21
Sierra Leone,Gross Opening stocks,1/1/2005,10
Sri Lanka,Gross Opening stocks,1/1/2005,2
Thailand,Gross Opening stocks,1/1/2005,132.25
Togo,Gross Opening stocks,1/1/2005,23.317
Trinidad & Tobago,Gross Opening stocks,1/1/2005,0
Uganda,Gross Opening stocks,1/1/2005,242
Venezuela,Gross Opening stocks,1/1/2005,28
Viet Nam,Gross Opening stocks,1/1/2005,580
Yemen,Gross Opening stocks,1/1/2005,0
Angola,Exports,1/1/2005,4.965
Bolivia (Plurinational State of),Exports,1/1/2005,68.9692
Brazil,Exports,1/1/2005,25077.9797
Burundi,Exports,1/1/2005,232.164
Ecuador,Exports,1/1/2005,1001.3007
Indonesia,Exports,1/1/2005,6794.9594
Madagascar,Exports,1/1/2005,123.482
Malawi,Exports,1/1/2005,21.416
Papua New Guinea,Exports,1/1/2005,1253.4108
Paraguay,Exports,1/1/2005,23.2369
Peru,Exports,1/1/2005,2271.8349
Rwanda,Exports,1/1/2005,276.0107
Timor-Leste,Exports,1/1/2005,23.5228
Zimbabwe,Exports,1/1/2005,61.9299
Congo,Exports,1/1/2005,0
Cuba,Exports,1/1/2005,14.5833
Dominican Republic,Exports,1/1/2005,92.8889
Haiti,Exports,1/1/2005,24.0064
Philippines,Exports,1/1/2005,31.3372
Tanzania,Exports,1/1/2005,754.0736
Zambia,Exports,1/1/2005,102.336
Benin,Exports,1/1/2005,0
Cameroon,Exports,1/1/2005,778.7156
Central African Republic,Exports,1/1/2005,20.1639
Colombia,Exports,1/1/2005,10751.2337
Costa Rica,Exports,1/1/2005,1317.5288
Côte d'Ivoire,Exports,1/1/2005,1807.8097
Democratic Republic of Congo,Exports,1/1/2005,136.198
El Salvador,Exports,1/1/2005,1268.587
Equatorial Guinea,Exports,1/1/2005,0
Ethiopia,Exports,1/1/2005,2702.486
Gabon,Exports,1/1/2005,0.391
Ghana,Exports,1/1/2005,10.7849
Guatemala,Exports,1/1/2005,3348.1968
Guinea,Exports,1/1/2005,495.884
Guyana,Exports,1/1/2005,1.4144
Honduras,Exports,1/1/2005,2928.56
India,Exports,1/1/2005,3410.2898
Jamaica,Exports,1/1/2005,20.5457
Kenya,Exports,1/1/2005,620.135
Lao People's Democratic Republic,Exports,1/1/2005,139.646
Liberia,Exports,1/1/2005,0.361
Mexico,Exports,1/1/2005,2507.6637
Nepal,Exports,1/1/2005,2.6441
Nicaragua,Exports,1/1/2005,1427.0265
Nigeria,Exports,1/1/2005,28.5718
Panama,Exports,1/1/2005,109.3307
Sierra Leone,Exports,1/1/2005,54.9662
Sri Lanka,Exports,1/1/2005,5.9432
Thailand,Exports,1/1/2005,623.2151
Togo,Exports,1/1/2005,126.3929
Trinidad & Tobago,Exports,1/1/2005,0.8624
Uganda,Exports,1/1/2005,2001.974
Venezuela,Exports,1/1/2005,47.8009
Viet Nam,Exports,1/1/2005,13121.8362
Yemen,Exports,1/1/2005,65.1808
Angola,Total production,1/1/1993,32.608
Bolivia (Plurinational State of),Total production,1/1/1993,50.823
Brazil,Total production,1/1/1993,28166.9786
Burundi,Total production,1/1/1993,393.354
Ecuador,Total production,1/1/1993,2069.007
Indonesia,Total production,1/1/1993,6743.288
Madagascar,Total production,1/1/1993,441.859
Malawi,Total production,1/1/1993,62.111
Papua New Guinea,Total production,1/1/1993,1019.481
Paraguay,Total production,1/1/1993,70.046
Peru,Total production,1/1/1993,665.497
Rwanda,Total production,1/1/1993,443.625
Timor-Leste,Total production,1/1/1993,0
Zimbabwe,Total production,1/1/1993,11.6
Congo,Total production,1/1/1993,3
Cuba,Total production,1/1/1993,285.404
Dominican Republic,Total production,1/1/1993,603.944
Haiti,Total production,1/1/1993,450.697
Philippines,Total production,1/1/1993,874.855
Tanzania,Total production,1/1/1993,734.375
Zambia,Total production,1/1/1993,26.606
Benin,Total production,1/1/1993,0.05
Cameroon,Total production,1/1/1993,682.913
Central African Republic,Total production,1/1/1993,165.574
Colombia,Total production,1/1/1993,11422.422
Costa Rica,Total production,1/1/1993,2358.753
Côte d'Ivoire,Total production,1/1/1993,2293.407
Democratic Republic of Congo,Total production,1/1/1993,980.261
El Salvador,Total production,1/1/1993,2378.482
Equatorial Guinea,Total production,1/1/1993,0
Ethiopia,Total production,1/1/1993,2967.004
Gabon,Total production,1/1/1993,2.884
Ghana,Total production,1/1/1993,45.381
Guatemala,Total production,1/1/1993,3535.501
Guinea,Total production,1/1/1993,63.806
Guyana,Total production,1/1/1993,0
Honduras,Total production,1/1/1993,1829.179
India,Total production,1/1/1993,3533.181
Jamaica,Total production,1/1/1993,34.287
Kenya,Total production,1/1/1993,1328.112
Lao People's Democratic Republic,Total production,1/1/1993,0
Liberia,Total production,1/1/1993,5
Mexico,Total production,1/1/1993,5023.488
Nepal,Total production,1/1/1993,0
Nicaragua,Total production,1/1/1993,706.13
Nigeria,Total production,1/1/1993,45.319
Panama,Total production,1/1/1993,142.066
Sierra Leone,Total production,1/1/1993,37.451
Sri Lanka,Total production,1/1/1993,53.79
Thailand,Total production,1/1/1993,1275.201
Togo,Total production,1/1/1993,194.939
Trinidad & Tobago,Total production,1/1/1993,16.079
Uganda,Total production,1/1/1993,3141.706
Venezuela,Total production,1/1/1993,1332.881
Viet Nam,Total production,1/1/1993,3020.216
Yemen,Total production,1/1/1993,0
Angola,Domestic consumption,1/1/1993,20
Bolivia (Plurinational State of),Domestic consumption,1/1/1993,28.5
Brazil,Domestic consumption,1/1/1993,9100
Burundi,Domestic consumption,1/1/1993,1.91
Ecuador,Domestic consumption,1/1/1993,350
Indonesia,Domestic consumption,1/1/1993,1359
Madagascar,Domestic consumption,1/1/1993,360
Malawi,Domestic consumption,1/1/1993,2
Papua New Guinea,Domestic consumption,1/1/1993,2
Paraguay,Domestic consumption,1/1/1993,20
Peru,Domestic consumption,1/1/1993,200
Rwanda,Domestic consumption,1/1/1993,1
Timor-Leste,Domestic consumption,1/1/1993,0
Zimbabwe,Domestic consumption,1/1/1993,8.333
Congo,Domestic consumption,1/1/1993,3
Cuba,Domestic consumption,1/1/1993,194.1
Dominican Republic,Domestic consumption,1/1/1993,320
Haiti,Domestic consumption,1/1/1993,330
Philippines,Domestic consumption,1/1/1993,770
Tanzania,Domestic consumption,1/1/1993,17.5
Zambia,Domestic consumption,1/1/1993,1
Benin,Domestic consumption,1/1/1993,0
Cameroon,Domestic consumption,1/1/1993,100
Central African Republic,Domestic consumption,1/1/1993,25
Colombia,Domestic consumption,1/1/1993,1339
Costa Rica,Domestic consumption,1/1/1993,375
Côte d'Ivoire,Domestic consumption,1/1/1993,50
Democratic Republic of Congo,Domestic consumption,1/1/1993,200
El Salvador,Domestic consumption,1/1/1993,230
Equatorial Guinea,Domestic consumption,1/1/1993,0
Ethiopia,Domestic consumption,1/1/1993,1402
Gabon,Domestic consumption,1/1/1993,0.8
Ghana,Domestic consumption,1/1/1993,17
Guatemala,Domestic consumption,1/1/1993,310
Guinea,Domestic consumption,1/1/1993,33
Guyana,Domestic consumption,1/1/1993,0
Honduras,Domestic consumption,1/1/1993,230
India,Domestic consumption,1/1/1993,833.333
Jamaica,Domestic consumption,1/1/1993,9.6
Kenya,Domestic consumption,1/1/1993,50
Lao People's Democratic Republic,Domestic consumption,1/1/1993,0
Liberia,Domestic consumption,1/1/1993,5
Mexico,Domestic consumption,1/1/1993,1070
Nepal,Domestic consumption,1/1/1993,0
Nicaragua,Domestic consumption,1/1/1993,108.9
Nigeria,Domestic consumption,1/1/1993,40
Panama,Domestic consumption,1/1/1993,67
Sierra Leone,Domestic consumption,1/1/1993,5
Sri Lanka,Domestic consumption,1/1/1993,20
Thailand,Domestic consumption,1/1/1993,250
Togo,Domestic consumption,1/1/1993,1
Trinidad & Tobago,Domestic consumption,1/1/1993,10
Uganda,Domestic consumption,1/1/1993,75
Venezuela,Domestic consumption,1/1/1993,885.93
Viet Nam,Domestic consumption,1/1/1993,267
Yemen,Domestic consumption,1/1/1993,0
Angola,Exportable production,1/1/1993,12.608
Bolivia (Plurinational State of),Exportable production,1/1/1993,22.323
Brazil,Exportable production,1/1/1993,19066.9786
Burundi,Exportable production,1/1/1993,391.444
Ecuador,Exportable production,1/1/1993,1719.007
Indonesia,Exportable production,1/1/1993,5384.288
Madagascar,Exportable production,1/1/1993,81.859
Malawi,Exportable production,1/1/1993,60.111
Papua New Guinea,Exportable production,1/1/1993,1017.481
Paraguay,Exportable production,1/1/1993,50.046
Peru,Exportable production,1/1/1993,465.497
Rwanda,Exportable production,1/1/1993,442.625
Timor-Leste,Exportable production,1/1/1993,0
Zimbabwe,Exportable production,1/1/1993,3.267
Congo,Exportable production,1/1/1993,0
Cuba,Exportable production,1/1/1993,91.304
Dominican Republic,Exportable production,1/1/1993,283.944
Haiti,Exportable production,1/1/1993,120.697
Philippines,Exportable production,1/1/1993,104.855
Tanzania,Exportable production,1/1/1993,716.875
Zambia,Exportable production,1/1/1993,25.606
Benin,Exportable production,1/1/1993,0.05
Cameroon,Exportable production,1/1/1993,582.913
Central African Republic,Exportable production,1/1/1993,140.574
Colombia,Exportable production,1/1/1993,10083.422
Costa Rica,Exportable production,1/1/1993,1983.753
Côte d'Ivoire,Exportable production,1/1/1993,2243.407
Democratic Republic of Congo,Exportable production,1/1/1993,780.261
El Salvador,Exportable production,1/1/1993,2148.482
Equatorial Guinea,Exportable production,1/1/1993,0
Ethiopia,Exportable production,1/1/1993,1565.004
Gabon,Exportable production,1/1/1993,2.084
Ghana,Exportable production,1/1/1993,28.381
Guatemala,Exportable production,1/1/1993,3225.501
Guinea,Exportable production,1/1/1993,30.806
Guyana,Exportable production,1/1/1993,0
Honduras,Exportable production,1/1/1993,1599.179
India,Exportable production,1/1/1993,2699.848
Jamaica,Exportable production,1/1/1993,24.687
Kenya,Exportable production,1/1/1993,1278.112
Lao People's Democratic Republic,Exportable production,1/1/1993,0
Liberia,Exportable production,1/1/1993,0
Mexico,Exportable production,1/1/1993,3953.488
Nepal,Exportable production,1/1/1993,0
Nicaragua,Exportable production,1/1/1993,597.23
Nigeria,Exportable production,1/1/1993,5.319
Panama,Exportable production,1/1/1993,75.066
Sierra Leone,Exportable production,1/1/1993,32.451
Sri Lanka,Exportable production,1/1/1993,33.79
Thailand,Exportable production,1/1/1993,1025.201
Togo,Exportable production,1/1/1993,193.939
Trinidad & Tobago,Exportable production,1/1/1993,6.079
Uganda,Exportable production,1/1/1993,3066.706
Venezuela,Exportable production,1/1/1993,446.951
Viet Nam,Exportable production,1/1/1993,2753.216
Yemen,Exportable production,1/1/1993,0
Angola,Gross Opening stocks,1/1/1993,111
Bolivia (Plurinational State of),Gross Opening stocks,1/1/1993,25.2
Brazil,Gross Opening stocks,1/1/1993,28921
Burundi,Gross Opening stocks,1/1/1993,0
Ecuador,Gross Opening stocks,1/1/1993,100
Indonesia,Gross Opening stocks,1/1/1993,1562
Madagascar,Gross Opening stocks,1/1/1993,455.333
Malawi,Gross Opening stocks,1/1/1993,25
Papua New Guinea,Gross Opening stocks,1/1/1993,49
Paraguay,Gross Opening stocks,1/1/1993,105
Peru,Gross Opening stocks,1/1/1993,500
Rwanda,Gross Opening stocks,1/1/1993,6
Timor-Leste,Gross Opening stocks,1/1/1993,0
Zimbabwe,Gross Opening stocks,1/1/1993,53.243
Congo,Gross Opening stocks,1/1/1993,11
Cuba,Gross Opening stocks,1/1/1993,192
Dominican Republic,Gross Opening stocks,1/1/1993,196
Haiti,Gross Opening stocks,1/1/1993,30
Philippines,Gross Opening stocks,1/1/1993,1102
Tanzania,Gross Opening stocks,1/1/1993,200.4
Zambia,Gross Opening stocks,1/1/1993,0
Benin,Gross Opening stocks,1/1/1993,0
Cameroon,Gross Opening stocks,1/1/1993,240.641
Central African Republic,Gross Opening stocks,1/1/1993,14
Colombia,Gross Opening stocks,1/1/1993,5028.688
Costa Rica,Gross Opening stocks,1/1/1993,190
Côte d'Ivoire,Gross Opening stocks,1/1/1993,655
Democratic Republic of Congo,Gross Opening stocks,1/1/1993,6
El Salvador,Gross Opening stocks,1/1/1993,134.78
Equatorial Guinea,Gross Opening stocks,1/1/1993,2
Ethiopia,Gross Opening stocks,1/1/1993,3986
Gabon,Gross Opening stocks,1/1/1993,0.2
